"Description" "data" "N_anul_lotow"
"Continental Air Lines Inc." 1987-12-19 9
"Continental Air Lines Inc." 1987-12-05 6
"Continental Air Lines Inc." 1987-12-08 5
"Continental Air Lines Inc." 1987-12-01 3
"Continental Air Lines Inc." 1987-12-06 8
"Delta Air Lines Inc." 1987-10-05 28
"Delta Air Lines Inc." 1987-10-21 7
"Delta Air Lines Inc." 1987-10-12 19
"Delta Air Lines Inc." 1987-10-01 10
"Delta Air Lines Inc." 1987-10-10 11
"Delta Air Lines Inc." 1987-10-17 22
"Delta Air Lines Inc." 1987-10-25 68
"Delta Air Lines Inc." 1987-10-13 6
"Delta Air Lines Inc." 1987-10-09 9
"Delta Air Lines Inc." 1987-10-22 6
"Delta Air Lines Inc." 1987-10-18 7
"Delta Air Lines Inc." 1987-10-03 17
"Delta Air Lines Inc." 1987-10-02 6
"Delta Air Lines Inc." 1987-10-04 15
"Delta Air Lines Inc." 1987-10-16 11
"Delta Air Lines Inc." 1987-10-19 9
"Delta Air Lines Inc." 1987-10-24 4
"Delta Air Lines Inc." 1987-10-20 10
"Delta Air Lines Inc." 1987-10-07 3
"Delta Air Lines Inc." 1987-10-29 2
"Delta Air Lines Inc." 1987-10-11 7
"Delta Air Lines Inc." 1987-10-14 4
"Delta Air Lines Inc." 1987-10-27 7
"Delta Air Lines Inc." 1987-10-23 1
"Delta Air Lines Inc." 1987-10-26 7
"Delta Air Lines Inc." 1987-10-06 10
"Delta Air Lines Inc." 1987-10-28 16
"Delta Air Lines Inc." 1987-10-31 11
"Delta Air Lines Inc." 1987-10-08 6
"Delta Air Lines Inc." 1987-10-15 5
"Delta Air Lines Inc." 1987-10-30 3
"Delta Air Lines Inc." 1987-11-19 16
"Delta Air Lines Inc." 1987-11-30 39
"Delta Air Lines Inc." 1987-11-08 21
"Delta Air Lines Inc." 1987-11-15 64
"Delta Air Lines Inc." 1987-11-16 38
"Delta Air Lines Inc." 1987-11-21 21
"Delta Air Lines Inc." 1987-11-05 43
"Delta Air Lines Inc." 1987-11-28 27
"Delta Air Lines Inc." 1987-11-09 30
"Delta Air Lines Inc." 1987-11-20 34
"Delta Air Lines Inc." 1987-11-17 23
"Delta Air Lines Inc." 1987-11-14 28
"Delta Air Lines Inc." 1987-11-01 23
"Delta Air Lines Inc." 1987-11-22 31
"Delta Air Lines Inc." 1987-11-02 28
"Delta Air Lines Inc." 1987-11-13 17
"Delta Air Lines Inc." 1987-11-12 61
"Delta Air Lines Inc." 1987-11-29 18
"Delta Air Lines Inc." 1987-11-06 25
"Delta Air Lines Inc." 1987-11-25 37
"Delta Air Lines Inc." 1987-11-18 27
"Delta Air Lines Inc." 1987-11-11 82
"Delta Air Lines Inc." 1987-11-24 27
"Delta Air Lines Inc." 1987-11-03 13
"Delta Air Lines Inc." 1987-11-10 24
"Delta Air Lines Inc." 1987-11-07 25
"Delta Air Lines Inc." 1987-11-26 31
"Delta Air Lines Inc." 1987-11-27 19
"Delta Air Lines Inc." 1987-11-23 26
"Delta Air Lines Inc." 1987-11-04 21
"Delta Air Lines Inc." 1987-12-14 78
"Delta Air Lines Inc." 1987-12-12 24
"Delta Air Lines Inc." 1987-12-29 33
"Delta Air Lines Inc." 1987-12-15 96
"Delta Air Lines Inc." 1987-12-20 14
"Delta Air Lines Inc." 1987-12-02 4
"Delta Air Lines Inc." 1987-12-11 29
"Delta Air Lines Inc." 1987-12-24 27
"Delta Air Lines Inc." 1987-12-03 6
"Delta Air Lines Inc." 1987-12-26 33
"Delta Air Lines Inc." 1987-12-27 79
"Delta Air Lines Inc." 1987-12-28 56
"Delta Air Lines Inc." 1987-12-25 95
"Delta Air Lines Inc." 1987-12-09 9
"Delta Air Lines Inc." 1987-12-18 21
"Delta Air Lines Inc." 1987-12-30 14
"Delta Air Lines Inc." 1987-12-08 11
"Delta Air Lines Inc." 1987-12-06 16
"Delta Air Lines Inc." 1987-12-16 9
"Delta Air Lines Inc." 1987-12-17 8
"Delta Air Lines Inc." 1987-12-31 12
"Delta Air Lines Inc." 1987-12-23 20
"Delta Air Lines Inc." 1987-12-04 13
"Delta Air Lines Inc." 1987-12-21 17
"Delta Air Lines Inc." 1987-12-22 10
"Delta Air Lines Inc." 1987-12-01 4
"Delta Air Lines Inc." 1987-12-05 7
"Delta Air Lines Inc." 1987-12-19 10
"Delta Air Lines Inc." 1987-12-13 20
"Delta Air Lines Inc." 1987-12-07 8
"Delta Air Lines Inc." 1987-12-10 8
"Eastern Air Lines Inc." 1987-10-02 22
"Eastern Air Lines Inc." 1987-10-05 20
"Eastern Air Lines Inc." 1987-10-30 29
"Eastern Air Lines Inc." 1987-10-26 29
