"Description" "polaczenie" "Distance" "ilosc_lotow"
"America West Airlines Inc." "Las Vegas(NV) - Palmdale(CA)" 193 1928
"America West Airlines Inc." "Phoenix(AZ) - Houston(TX)" 1009 23189
"America West Airlines Inc." "Houston(TX) - Las Vegas(NV)" 1222 4559
"America West Airlines Inc." "Grand Canyon(AZ) - Flagstaff(AZ)" NA 107
"America West Airlines Inc." "Las Vegas(NV) - Grand Canyon(AZ)" NA 108
"America West Airlines Inc." "Flagstaff(AZ) - Grand Canyon(AZ)" NA 111
"America West Airlines Inc." "Grand Canyon(AZ) - Las Vegas(NV)" NA 112
"America West Airlines Inc." "Wichita(KS) - Omaha(NE)" 265 1
"America West Airlines Inc." "Boston(MA) - Phoenix(AZ)" 2300 10755
"America West Airlines Inc." "Las Vegas(NV) - Boston(MA)" 2381 8925
"America West Airlines Inc." "Boston(MA) - Las Vegas(NV)" 2381 8947
"America West Airlines Inc." "Phoenix(AZ) - Boston(MA)" 2300 10716
"America West Airlines Inc." "Las Vegas(NV) - Bakersfield(CA)" 224 1823
"America West Airlines Inc." "Bakersfield(CA) - Las Vegas(NV)" 224 1826
"America West Airlines Inc." "San Francisco(CA) - Phoenix(AZ)" 651 31855
"America West Airlines Inc." "San Francisco(CA) - Las Vegas(NV)" 414 27219
"America West Airlines Inc." "Las Vegas(NV) - San Francisco(CA)" 414 26223
"America West Airlines Inc." "Phoenix(AZ) - San Francisco(CA)" 651 32739
"America West Airlines Inc." "Boise(ID) - Salt Lake City(UT)" 291 192
"America West Airlines Inc." "Salt Lake City(UT) - Boise(ID)" 291 183
"America West Airlines Inc." "Omaha(NE) - Cedar Rapids(IA)" 221 328
"America West Airlines Inc." "Dallas-Fort Worth(TX) - Las Vegas(NV)" 1055 9654
"America West Airlines Inc." "Las Vegas(NV) - Grand Junction(CO)" 420 419
"America West Airlines Inc." "Phoenix(AZ) - Dallas-Fort Worth(TX)" 868 25932
"America West Airlines Inc." "Las Vegas(NV) - Dallas-Fort Worth(TX)" 1055 9651
"America West Airlines Inc." "Dallas-Fort Worth(TX) - Phoenix(AZ)" 868 25991
"America West Airlines Inc." "Cedar Rapids(IA) - Omaha(NE)" 221 347
"America West Airlines Inc." "Phoenix(AZ) - Palmdale(CA)" 358 303
"America West Airlines Inc." "Palmdale(CA) - Phoenix(AZ)" 358 308
"America West Airlines Inc." "Grand Junction(CO) - Las Vegas(NV)" 420 426
"Northwest Airlines Inc." "Dallas-Fort Worth(TX) - Minneapolis(MN)" NA 220
"Northwest Airlines Inc." "Minneapolis(MN) - Dallas-Fort Worth(TX)" NA 219
"Northwest Airlines Inc." "Dallas-Fort Worth(TX) - Detroit(MI)" NA 167
"Northwest Airlines Inc." "Detroit(MI) - Dallas-Fort Worth(TX)" NA 165
"Northwest Airlines Inc." "Dallas-Fort Worth(TX) - Memphis(TN)" NA 173
"Northwest Airlines Inc." "Memphis(TN) - Dallas-Fort Worth(TX)" NA 172
"Northwest Airlines Inc." "Los Angeles(CA) - Dallas-Fort Worth(TX)" NA 58
"Northwest Airlines Inc." "Dallas-Fort Worth(TX) - Los Angeles(CA)" NA 58
"Northwest Airlines Inc." "Grand Rapids(MI) - Green Bay(WI)" 171 13
"Northwest Airlines Inc." "Kalamazoo(MI) - Green Bay(WI)" 202 839
"Northwest Airlines Inc." "Green Bay(WI) - Kalamazoo(MI)" 202 827
"Northwest Airlines Inc." "Minneapolis(MN) - San Jose(CA)" 1576 15444
"Northwest Airlines Inc." "San Jose(CA) - Minneapolis(MN)" 1576 15562
"Northwest Airlines Inc." "San Diego(CA) - Memphis(TN)" 1567 640
"Northwest Airlines Inc." "Memphis(TN) - San Diego(CA)" 1567 630
"Northwest Airlines Inc." "Anchorage(AK) - Detroit(MI)" 2986 2058
"Northwest Airlines Inc." "Detroit(MI) - Anchorage(AK)" 2986 2024
"Northwest Airlines Inc." "Syracuse(NY) - Rochester(NY)" 79 3585
"Northwest Airlines Inc." "Sarasota(FL) - Tampa(FL)" 40 69
"Northwest Airlines Inc." "Tampa(FL) - Sarasota(FL)" 40 68
"Northwest Airlines Inc." "Minneapolis(MN) - Houston(TX)" 1057 9196
"Northwest Airlines Inc." "Houston(TX) - Minneapolis(MN)" 1057 9299
"Northwest Airlines Inc." "Madison(WI) - Green Bay(WI)" 111 870
"Northwest Airlines Inc." "Grand Rapids(MI) - Lansing(MI)" 48 54
"Northwest Airlines Inc." "Lansing(MI) - Grand Rapids(MI)" 48 54
"Northwest Airlines Inc." "Green Bay(WI) - Madison(WI)" 111 869
"Northwest Airlines Inc." "Nashville(TN) - Louisville(KY)" 151 135
"Northwest Airlines Inc." "Louisville(KY) - Nashville(TN)" 151 139
"Northwest Airlines Inc." "Allentown(PA) - Harrisburg(PA)" 77 3167
"Northwest Airlines Inc." "Indianapolis(IN) - New York(NY)" 659 1674
"Northwest Airlines Inc." "New York(NY) - Indianapolis(IN)" 659 1659
"Northwest Airlines Inc." "Rochester(NY) - Syracuse(NY)" 79 536
"Pan American World Airways (1)" "Miami(FL) - Dallas-Fort Worth(TX)" NA 111
"Pan American World Airways (1)" "Dallas-Fort Worth(TX) - Miami(FL)" NA 109
"Pan American World Airways (1)" "New York(NY) - Dallas-Fort Worth(TX)" NA 162
"Pan American World Airways (1)" "Dallas-Fort Worth(TX) - New York(NY)" NA 169
"Pan American World Airways (1)" "Denver(CO) - Salt Lake City(UT)" 391 526
"Pan American World Airways (1)" "Dallas-Fort Worth(TX) - Albuquerque(NM)" NA 32
"Pan American World Airways (1)" "Albuquerque(NM) - Dallas-Fort Worth(TX)" NA 38
"Pan American World Airways (1)" "Salt Lake City(UT) - Denver(CO)" 391 550
"Pan American World Airways (1)" "Pittsburgh(PA) - Covington(KY)" 256 167
"Pan American World Airways (1)" "Covington(KY) - Pittsburgh(PA)" 256 178
"Pan American World Airways (1)" "Dallas-Fort Worth(TX) - San Antonio(TX)" 247 162
"Pan American World Airways (1)" "San Antonio(TX) - Dallas-Fort Worth(TX)" 247 174
"Pan American World Airways (1)" "Minneapolis(MN) - Kansas City(MO)" 393 309
"Pan American World Airways (1)" "Kansas City(MO) - Minneapolis(MN)" 393 318
"Pan American World Airways (1)" "New Orleans(LA) - Dallas-Fort Worth(TX)" 448 920
"Pan American World Airways (1)" "Dallas-Fort Worth(TX) - New Orleans(LA)" 448 915
"Pan American World Airways (1)" "Norfolk(VA) - New York(NY)" 289 1
"Pan American World Airways (1)" "Newark(NJ) - Miami(FL)" 1086 1067
"Pan American World Airways (1)" "Miami(FL) - Newark(NJ)" 1086 1048
"Trans World Airways LLC" "St Louis(MO) - Dallas-Fort Worth(TX)" NA 422
"Trans World Airways LLC" "Dallas-Fort Worth(TX) - St Louis(MO)" NA 430
"Trans World Airways LLC" "New Orleans(LA) - Houston(TX)" 303 207
"Trans World Airways LLC" "Austin(TX) - New Orleans(LA)" 445 1
"Trans World Airways LLC" "New York(NY) - Dallas-Fort Worth(TX)" NA 53
"Trans World Airways LLC" "Dallas-Fort Worth(TX) - New York(NY)" NA 57
"Trans World Airways LLC" "Sarasota(FL) - Tampa(FL)" 40 444
"Trans World Airways LLC" "Tampa(FL) - Sarasota(FL)" 40 210
"Trans World Airways LLC" "Ft. Myers(FL) - Ft. Lauderdale(FL)" 104 55
"Trans World Airways LLC" "Cedar Rapids(IA) - Sioux Falls(SD)" 282 13
"Trans World Airways LLC" "Louisville(KY) - Dayton(OH)" 144 4
"Trans World Airways LLC" "Nashville(TN) - Louisville(KY)" 151 1
"Trans World Airways LLC" "West Palm Beach(FL) - Tampa(FL)" 174 30
"Trans World Airways LLC" "San Diego(CA) - Palm Springs(CA)" 85 401
"Trans World Airways LLC" "Palm Springs(CA) - San Diego(CA)" 85 56
"Trans World Airways LLC" "San Diego(CA) - Phoenix(AZ)" 304 1406
"Trans World Airways LLC" "West Palm Beach(FL) - Sarasota(FL)" 159 1374
"Trans World Airways LLC" "Kansas City(MO) - Indianapolis(IN)" 451 421
"Trans World Airways LLC" "Indianapolis(IN) - Kansas City(MO)" 451 417
"Trans World Airways LLC" "Phoenix(AZ) - Ontario(CA)" 325 136
"Trans World Airways LLC" "Ft. Myers(FL) - West Palm Beach(FL)" 103 240
"Trans World Airways LLC" "Sioux Falls(SD) - Lincoln(NE)" 188 367
"Trans World Airways LLC" "Lincoln(NE) - Des Moines(IA)" 168 1
"Trans World Airways LLC" "Cleveland(OH) - Louisville(KY)" 304 112
"Trans World Airways LLC" "Louisville(KY) - Cleveland(OH)" 304 120
"Trans World Airways LLC" "Miami(FL) - Sarasota(FL)" 178 86
"Trans World Airways LLC" "Ontario(CA) - Phoenix(AZ)" 325 25
"Trans World Airways LLC" "San Antonio(TX) - Houston(TX)" 192 365
"Trans World Airways LLC" "Pittsburgh(PA) - Covington(KY)" 256 634
"Trans World Airways LLC" "Miami(FL) - Orlando(FL)" 193 26
"Trans World Airways LLC" "Peoria(IL) - Moline(IL)" 69 7
"Trans World Airways LLC" "Cleveland(OH) - Nashville(TN)" 448 464
"Trans World Airways LLC" "Minneapolis(MN) - Chicago(IL)" 334 140
"Trans World Airways LLC" "Nashville(TN) - Cleveland(OH)" 448 496
"Trans World Airways LLC" "Chicago(IL) - Minneapolis(MN)" 334 136
"Trans World Airways LLC" "Houston(TX) - New Orleans(LA)" 303 206
"Trans World Airways LLC" "Las Vegas(NV) - San Francisco(CA)" 414 2
"Trans World Airways LLC" "San Juan(PR) - Boston(MA)" 1674 1495
"Trans World Airways LLC" "Boston(MA) - San Juan(PR)" 1674 1493
"Trans World Airways LLC" "Springfield(MO) - Tulsa(OK)" 157 11
"Trans World Airways LLC" "Wichita(KS) - Kansas City(MO)" 186 190
"Trans World Airways LLC" "Minneapolis(MN) - Indianapolis(IN)" 503 1604
"Trans World Airways LLC" "Indianapolis(IN) - Minneapolis(MN)" 503 1587
"Trans World Airways LLC" "Kansas City(MO) - Wichita(KS)" 186 192
"Trans World Airways LLC" "Kansas City(MO) - Omaha(NE)" 152 91
"Trans World Airways LLC" "Omaha(NE) - Kansas City(MO)" 152 90
"Trans World Airways LLC" "Sioux City(IA) - Moline(IL)" 310 71
"United Air Lines Inc." "Denver(CO) - Dallas-Fort Worth(TX)" NA 330
"United Air Lines Inc." "Dallas-Fort Worth(TX) - Chicago(IL)" NA 221
"United Air Lines Inc." "Chicago(IL) - Dallas-Fort Worth(TX)" NA 222
"United Air Lines Inc." "Cedar Rapids(IA) - Sioux City(IA)" 243 997
"United Air Lines Inc." "Dallas-Fort Worth(TX) - San Francisco(CA)" NA 59
"United Air Lines Inc." "Dallas-Fort Worth(TX) - Denver(CO)" NA 330
"United Air Lines Inc." "San Francisco(CA) - Dallas-Fort Worth(TX)" NA 58
"United Air Lines Inc." "Little Rock(AR) - Denver(CO)" 770 1370
"United Air Lines Inc." "Dallas-Fort Worth(TX) - Chantilly(VA)" NA 105
"United Air Lines Inc." "Chantilly(VA) - Dallas-Fort Worth(TX)" NA 107
"United Air Lines Inc." "Seattle(WA) - Fairbanks(AK)" 1533 1
"United Air Lines Inc." "Fairbanks(AK) - Seattle(WA)" 1533 1
"United Air Lines Inc." "Newark(NJ) - Allentown(PA)" 67 1
"United Air Lines Inc." "Santa Ana(CA) - San Francisco(CA)" 372 35817
"United Air Lines Inc." "San Francisco(CA) - Santa Ana(CA)" 372 34753
"United Air Lines Inc." "Newark(NJ) - Boston(MA)" 200 866
"United Air Lines Inc." "Oakland(CA) - Burbank(CA)" 325 7121
"United Air Lines Inc." "Burbank(CA) - Oakland(CA)" 325 7336
"United Air Lines Inc." "Boston(MA) - Newark(NJ)" 200 865
"United Air Lines Inc." "Chantilly(VA) - Portland(OR)" 2327 4766
"United Air Lines Inc." "Portland(OR) - Chantilly(VA)" 2327 4858
"United Air Lines Inc." "Miami(FL) - New Orleans(LA)" 674 87
"United Air Lines Inc." "Las Vegas(NV) - Palm Springs(CA)" 173 13
"United Air Lines Inc." "New Orleans(LA) - Miami(FL)" 674 87
"United Air Lines Inc." "Miami(FL) - Sarasota(FL)" 178 13
"United Air Lines Inc." "Honolulu(HI) - Oakland(CA)" 2409 78
"United Air Lines Inc." "Oakland(CA) - Honolulu(HI)" 2409 73
"United Air Lines Inc." "Omaha(NE) - Lincoln(NE)" 55 1140
"United Air Lines Inc." "Orlando(FL) - San Francisco(CA)" 2445 6414
"United Air Lines Inc." "Kansas City(MO) - St Louis(MO)" 237 1
"United Air Lines Inc." "Orlando(FL) - New Orleans(LA)" 550 294
"United Air Lines Inc." "West Palm Beach(FL) - Orlando(FL)" 142 2959
"United Air Lines Inc." "Ft. Lauderdale(FL) - Orlando(FL)" 178 2854
"United Air Lines Inc." "San Francisco(CA) - Orlando(FL)" 2445 6421
"United Air Lines Inc." "Orlando(FL) - Ft. Lauderdale(FL)" 178 2778
"United Air Lines Inc." "Orlando(FL) - West Palm Beach(FL)" 142 2925
"United Air Lines Inc." "New Orleans(LA) - Orlando(FL)" 550 285
"United Air Lines Inc." "Savannah(GA) - Chicago(IL)" 773 1602
"US Airways Inc." "Dallas-Fort Worth(TX) - Pittsburgh(PA)" NA 169
"US Airways Inc." "Pittsburgh(PA) - Dallas-Fort Worth(TX)" NA 164
"US Airways Inc." "St Louis(MO) - Wichita(KS)" 392 90
"US Airways Inc." "Philadelphia(PA) - Chicago(IL)" 668 921
"US Airways Inc." "Charlotte(NC) - Dallas-Fort Worth(TX)" NA 224
"US Airways Inc." "Dallas-Fort Worth(TX) - Dayton(OH)" NA 167
"US Airways Inc." "Dayton(OH) - Dallas-Fort Worth(TX)" NA 167
"US Airways Inc." "Wilkes-Barre/Scranton(PA) - Baltimore(MD)" 157 1203
"US Airways Inc." "Dallas-Fort Worth(TX) - Charlotte(NC)" NA 226
"US Airways Inc." "Baltimore(MD) - Wilkes-Barre/Scranton(PA)" 157 1181
"US Airways Inc." "Kansas City(MO) - Arlington(VA)" 950 13357
"US Airways Inc." "Arlington(VA) - Kansas City(MO)" 950 13631
"US Airways Inc." "New York(NY) - Columbia(SC)" 617 902
"US Airways Inc." "Newark(NJ) - Boston(MA)" 200 16606
"US Airways Inc." "Wichita(KS) - St Louis(MO)" 392 91
"US Airways Inc." "Chicago(IL) - Philadelphia(PA)" 668 917
"US Airways Inc." "Greer(SC) - Savannah(GA)" 200 150
"US Airways Inc." "New York(NY) - Greer(SC)" 610 4672
"US Airways Inc." "Richmond(VA) - Myrtle Beach(SC)" 279 88
"US Airways Inc." "Roanoke(VA) - Pittsburgh(PA)" 219 8225
"US Airways Inc." "Philadelphia(PA) - Kansas City(MO)" 1038 15479
"US Airways Inc." "San Diego(CA) - Kansas City(MO)" 1333 1929
"US Airways Inc." "Charlottesville(VA) - Roanoke(VA)" 101 415
"US Airways Inc." "Kansas City(MO) - San Diego(CA)" 1333 1872
"US Airways Inc." "New York(NY) - Jacksonville(FL)" 834 7386
"US Airways Inc." "Columbia(SC) - Charleston(SC)" 95 463
"US Airways Inc." "Boston(MA) - Newark(NJ)" 200 16459
"US Airways Inc." "Pittsburgh(PA) - Roanoke(VA)" 219 7645
"US Airways Inc." "Charlottesville(VA) - Richmond(VA)" 76 563
"US Airways Inc." "New York(NY) - Kansas City(MO)" 1107 6994
"US Airways Inc." "Greer(SC) - New York(NY)" 610 4748
"US Airways Inc." "Savannah(GA) - Greer(SC)" 200 176
"US Airways Inc." "Kansas City(MO) - New York(NY)" 1107 7013
"US Airways Inc." "Kansas City(MO) - Philadelphia(PA)" 1038 16663
"US Airways Inc." "Richmond(VA) - Charlottesville(VA)" 76 561
"US Airways Inc." "Jacksonville(FL) - New York(NY)" 834 7428
"US Airways Inc." "Columbia(SC) - New York(NY)" 617 916
"US Airways Inc." "Charleston(SC) - Columbia(SC)" 95 440
"US Airways Inc." "Richmond(VA) - Roanoke(VA)" 147 876
"US Airways Inc." "Baltimore(MD) - Greer(SC)" 425 557
"US Airways Inc." "Charleston(SC) - New York(NY)" 641 2426
"US Airways Inc." "New York(NY) - Charleston(SC)" 641 2465
"US Airways Inc." "Raleigh(NC) - Greensboro(NC)" 67 77
"US Airways Inc." "Roanoke(VA) - Richmond(VA)" 147 878
"US Airways Inc." "Roanoke(VA) - Charlottesville(VA)" 101 403
"US Airways Inc." "Myrtle Beach(SC) - Richmond(VA)" 279 87
"US Airways Inc." "Greer(SC) - Baltimore(MD)" 425 563
"US Airways Inc." "Burlington(VT) - Albany(NY)" 124 841
"US Airways Inc." "Albany(NY) - Burlington(VT)" 124 822
"US Airways Inc." "Charlotte(NC) - Chantilly(VA)" 321 27271
"US Airways Inc." "Chantilly(VA) - Charlotte(NC)" 321 27377
"US Airways Inc." "Greer(SC) - Charleston(SC)" 186 555
"US Airways Inc." "Charlotte(NC) - San Antonio(TX)" 1095 2823
"US Airways Inc." "Ithaca(NY) - Elmira(NY)" 32 5424
"US Airways Inc." "Columbia(SC) - Savannah(GA)" 125 252
"US Airways Inc." "Milwaukee(WI) - Charlotte(NC)" 651 10904
"US Airways Inc." "Windsor Locks(CT) - Dayton(OH)" 620 167
"US Airways Inc." "Orlando(FL) - Los Angeles(CA)" 2217 605
"US Airways Inc." "Charleston(SC) - Greer(SC)" 186 567
"US Airways Inc." "Charlotte(NC) - Milwaukee(WI)" 651 10723
"US Airways Inc." "San Diego(CA) - Cleveland(OH)" 2026 125
"US Airways Inc." "Cleveland(OH) - San Diego(CA)" 2026 124
"US Airways Inc." "Los Angeles(CA) - Orlando(FL)" 2217 602
"US Airways Inc." "Orlando(FL) - Kansas City(MO)" 1072 2018
"US Airways Inc." "Kansas City(MO) - Orlando(FL)" 1072 2029
"US Airways Inc." "Houston(TX) - Dayton(OH)" 929 178
"US Airways Inc." "Savannah(GA) - Columbia(SC)" 125 257
"US Airways Inc." "Dayton(OH) - Windsor Locks(CT)" 620 166
"US Airways Inc." "Kansas City(MO) - Seattle(WA)" 1489 2084
"US Airways Inc." "Seattle(WA) - Kansas City(MO)" 1489 2087
"US Airways Inc." "Arlington(VA) - Jacksonville(FL)" 634 7595
"US Airways Inc." "San Antonio(TX) - Charlotte(NC)" 1095 2827
"US Airways Inc." "Dayton(OH) - Houston(TX)" 929 180
"US Airways Inc." "Jacksonville(FL) - Arlington(VA)" 634 7602
"US Airways Inc." "Charlotte(NC) - San Diego(CA)" 2077 7287
"US Airways Inc." "Columbus(OH) - Los Angeles(CA)" 1996 1999
"US Airways Inc." "Las Vegas(NV) - Phoenix(AZ)" 256 12667
"US Airways Inc." "San Diego(CA) - Charlotte(NC)" 2077 7285
"US Airways Inc." "Phoenix(AZ) - Las Vegas(NV)" 256 11734
"US Airways Inc." "Los Angeles(CA) - Columbus(OH)" 1996 1820
"US Airways Inc." "San Juan(PR) - Baltimore(MD)" 1565 2196
"US Airways Inc." "Baltimore(MD) - San Juan(PR)" 1565 1398
"US Airways Inc." "Chantilly(VA) - Newport News(VA)" NA 62
"US Airways Inc." "Newport News(VA) - Chantilly(VA)" NA 62
"US Airways Inc." "Newport News(VA) - Pittsburgh(PA)" NA 122
"US Airways Inc." "Pittsburgh(PA) - Newport News(VA)" NA 117
"US Airways Inc." "Indianapolis(IN) - Dayton(OH)" 110 650
"US Airways Inc." "Dayton(OH) - Indianapolis(IN)" 110 683
"US Airways Inc." "Tampa(FL) - New York(NY)" 1011 14929
"US Airways Inc." "New York(NY) - Tampa(FL)" 1011 14921
"US Airways Inc." "Arlington(VA) - Roanoke(VA)" 192 1
"US Airways Inc." "Charlotte(NC) - Akron(OH)" 394 2224
"US Airways Inc." "Columbus(OH) - Boston(MA)" 640 4101
"US Airways Inc." "Raleigh(NC) - New York(NY)" 431 11533
"US Airways Inc." "Charlotte(NC) - Harrisburg(PA)" 413 13981
"US Airways Inc." "Harrisburg(PA) - Charlotte(NC)" 413 14012
"US Airways Inc." "Akron(OH) - Charlotte(NC)" 394 2273
"US Airways Inc." "Columbus(OH) - Orlando(FL)" 802 1636
"US Airways Inc." "Orlando(FL) - Boston(MA)" 1121 8841
"US Airways Inc." "Boston(MA) - Orlando(FL)" 1121 8853
"US Airways Inc." "Boston(MA) - Tampa(FL)" 1185 9162
"US Airways Inc." "Tampa(FL) - Boston(MA)" 1185 9153
"US Airways Inc." "Boston(MA) - Indianapolis(IN)" 817 2893
"US Airways Inc." "Ft. Myers(FL) - Tampa(FL)" 110 485
"US Airways Inc." "Tampa(FL) - Ft. Myers(FL)" 110 467
"US Airways Inc." "Indianapolis(IN) - Boston(MA)" 817 2877
"US Airways Inc." "Orlando(FL) - Columbus(OH)" 802 1635
"US Airways Inc." "Boston(MA) - Columbus(OH)" 640 4091
"US Airways Inc." "Providence(RI) - Charlotte(NC)" 683 19510
"US Airways Inc." "Baltimore(MD) - Nashville(TN)" 588 1151
"US Airways Inc." "Charlotte(NC) - Providence(RI)" 683 19525
"US Airways Inc." "New York(NY) - Raleigh(NC)" 431 11445
"US Airways Inc." "Nashville(TN) - Baltimore(MD)" 588 1155
"US Airways Inc." "San Diego(CA) - Reno(NV)" 488 532
"US Airways Inc." "Reno(NV) - San Diego(CA)" 488 535
"US Airways Inc." "Birmingham(AL) - Baltimore(MD)" 682 547
"US Airways Inc." "Dayton(OH) - Ft. Myers(FL)" 932 412
"US Airways Inc." "Ft. Myers(FL) - Dayton(OH)" 932 421
"US Airways Inc." "Kansas City(MO) - Tampa(FL)" 1048 179
"US Airways Inc." "Tampa(FL) - Kansas City(MO)" 1048 177
"US Airways Inc." "Islip(NY) - Charlotte(NC)" 575 3708
"US Airways Inc." "Charlotte(NC) - Islip(NY)" 575 3665
"US Airways Inc." "Baltimore(MD) - Birmingham(AL)" 682 549
"US Airways Inc." "Orlando(FL) - Chantilly(VA)" 758 6259
"US Airways Inc." "Chantilly(VA) - Orlando(FL)" 758 6281
"Southwest Airlines Co." "Dallas(TX) - Houston(TX)" NA 1866
"Southwest Airlines Co." "Dallas(TX) - Little Rock(AR)" NA 820
"Southwest Airlines Co." "Houston(TX) - Dallas(TX)" NA 1909
"Southwest Airlines Co." "Dallas(TX) - Amarillo(TX)" NA 357
"Southwest Airlines Co." "Amarillo(TX) - Dallas(TX)" NA 373
"Southwest Airlines Co." "Dallas(TX) - Lubbock(TX)" NA 965
"Southwest Airlines Co." "Dallas(TX) - Tulsa(OK)" NA 397
"Southwest Airlines Co." "Little Rock(AR) - Dallas(TX)" NA 750
"Southwest Airlines Co." "Tulsa(OK) - Dallas(TX)" NA 359
"Southwest Airlines Co." "Dallas(TX) - El Paso(TX)" NA 194
"Southwest Airlines Co." "Lubbock(TX) - Dallas(TX)" NA 861
"Southwest Airlines Co." "Albuquerque(NM) - Dallas(TX)" NA 213
"Southwest Airlines Co." "Dallas(TX) - Albuquerque(NM)" NA 166
"Southwest Airlines Co." "Dallas(TX) - Midland(TX)" NA 768
"Southwest Airlines Co." "Midland(TX) - Dallas(TX)" NA 807
"Southwest Airlines Co." "El Paso(TX) - Dallas(TX)" NA 202
"Southwest Airlines Co." "Dallas(TX) - San Antonio(TX)" NA 635
"Southwest Airlines Co." "Austin(TX) - Dallas(TX)" NA 605
"Southwest Airlines Co." "San Antonio(TX) - Dallas(TX)" NA 630
"Southwest Airlines Co." "Dallas(TX) - Austin(TX)" NA 587
"Southwest Airlines Co." "Dallas(TX) - New Orleans(LA)" NA 143
"Southwest Airlines Co." "New Orleans(LA) - Dallas(TX)" NA 157
"Southwest Airlines Co." "Burbank(CA) - Las Vegas(NV)" 223 72711
"Southwest Airlines Co." "Oakland(CA) - Burbank(CA)" 325 88900
"Southwest Airlines Co." "Burbank(CA) - Oakland(CA)" 325 89131
"Southwest Airlines Co." "Las Vegas(NV) - Burbank(CA)" 223 72650
"Southwest Airlines Co." "Las Vegas(NV) - Ontario(CA)" 197 48407
"Southwest Airlines Co." "Ontario(CA) - Las Vegas(NV)" 197 52945
"Southwest Airlines Co." "Reno(NV) - Oakland(CA)" 180 39272
"Southwest Airlines Co." "Oakland(CA) - Reno(NV)" 180 34840
"Southwest Airlines Co." "Reno(NV) - Las Vegas(NV)" 345 56609
"Southwest Airlines Co." "Las Vegas(NV) - Reno(NV)" 345 60649
"American Airlines Inc." "Chicago(IL) - San Diego(CA)" NA 299
"American Airlines Inc." "San Diego(CA) - Chicago(IL)" NA 339
"American Airlines Inc." "San Diego(CA) - New York(NY)" NA 58
"American Airlines Inc." "New York(NY) - San Diego(CA)" NA 57
"American Airlines Inc." "Los Angeles(CA) - San Diego(CA)" NA 59
"American Airlines Inc." "San Diego(CA) - Los Angeles(CA)" NA 58
"American Airlines Inc." "San Diego(CA) - San Jose(CA)" NA 325
"American Airlines Inc." "Indianapolis(IN) - Pittsburgh(PA)" 325 1
"American Airlines Inc." "Windsor Locks(CT) - Newburgh(NY)" 79 1
"American Airlines Inc." "San Jose(CA) - San Diego(CA)" NA 324
"American Airlines Inc." "Colorado Springs(CO) - Salt Lake City(UT)" 410 1
"American Airlines Inc." "San Diego(CA) - Nashville(TN)" NA 115
"American Airlines Inc." "Indianapolis(IN) - Milwaukee(WI)" 238 3
"American Airlines Inc." "Newburgh(NY) - Albany(NY)" 87 101
"American Airlines Inc." "Nashville(TN) - San Diego(CA)" NA 111
"American Airlines Inc." "McAllen(TX) - Dallas-Fort Worth(TX)" 468 21334
"American Airlines Inc." "Dallas-Fort Worth(TX) - McAllen(TX)" 468 21111
"American Airlines Inc." "New York(NY) - Chicago(IL)" 740 564
"American Airlines Inc." "Chicago(IL) - New York(NY)" 740 560
"American Airlines Inc." "Gunnison(CO) - Hayden(CO)" 135 1
"American Airlines Inc." "Newburgh(NY) - Rochester(NY)" 214 1
"American Airlines Inc." "Des Moines(IA) - Kansas City(MO)" 164 1
"American Airlines Inc." "Chantilly(VA) - Oklahoma City(OK)" 1136 1
"American Airlines Inc." "Burbank(CA) - Bakersfield(CA)" 94 1
"American Airlines Inc." "San Jose(CA) - Boston(MA)" 2689 8454
"American Airlines Inc." "Boston(MA) - San Jose(CA)" 2689 7606
"American Airlines Inc." "San Francisco(CA) - Nashville(TN)" 1968 1372
"American Airlines Inc." "Norfolk(VA) - Nashville(TN)" 585 2513
"American Airlines Inc." "Nashville(TN) - Jacksonville(FL)" 484 2326
"American Airlines Inc." "Miami(FL) - Atlanta(GA)" 595 29557
"American Airlines Inc." "Atlanta(GA) - Miami(FL)" 595 30724
"American Airlines Inc." "Nashville(TN) - Greer(SC)" 266 535
"American Airlines Inc." "El Paso(TX) - San Diego(CA)" 636 1
"American Airlines Inc." "Jacksonville(FL) - Nashville(TN)" 484 2370
"American Airlines Inc." "Nashville(TN) - Norfolk(VA)" 585 2428
"American Airlines Inc." "Windsor Locks(CT) - Nashville(TN)" 852 2439
"American Airlines Inc." "Greer(SC) - Nashville(TN)" 266 562
"American Airlines Inc." "Denver(CO) - Nashville(TN)" 1013 2674
"American Airlines Inc." "Greensboro(NC) - Charleston(SC)" 220 1
"American Airlines Inc." "Nashville(TN) - Richmond(VA)" 527 3152
"American Airlines Inc." "Richmond(VA) - Nashville(TN)" 527 3222
"American Airlines Inc." "Louisville(KY) - Indianapolis(IN)" 111 9
"American Airlines Inc." "Nashville(TN) - Windsor Locks(CT)" 852 2414
"American Airlines Inc." "Nashville(TN) - San Francisco(CA)" 1968 1356
"American Airlines Inc." "Charleston(SC) - Greensboro(NC)" 220 1
"American Airlines Inc." "Chicago(IL) - Birmingham(AL)" 584 1
"American Airlines Inc." "Nashville(TN) - Denver(CO)" 1013 2686
"American Airlines Inc." "Oklahoma City(OK) - El Paso(TX)" 563 2
"American Airlines Inc." "Miami(FL) - Houston(TX)" 955 2927
"American Airlines Inc." "Atlanta(GA) - Ft. Myers(FL)" 515 2
"American Airlines Inc." "Greer(SC) - Greensboro(NC)" 152 2
"American Airlines Inc." "Jacksonville(FL) - Houston(TX)" 817 1
