"Description" "polaczenie" "Distance" "ilosc_lotow"
"American Airlines Inc." "Portland(OR) - Chicago(IL)" 1739 18773
"American Airlines Inc." "Nashville(TN) - Mobile(AL)" 385 6264
"American Airlines Inc." "Arlington(VA) - Nashville(TN)" 562 9686
"American Airlines Inc." "Dallas-Fort Worth(TX) - Pittsburgh(PA)" 1068 20546
"American Airlines Inc." "Long Beach(CA) - Dallas-Fort Worth(TX)" 1220 20950
"American Airlines Inc." "Dallas-Fort Worth(TX) - Jacksonville(FL)" 919 19814
"American Airlines Inc." "Jacksonville(FL) - Savannah(GA)" 117 4744
"American Airlines Inc." "Savannah(GA) - Dallas-Fort Worth(TX)" 925 2999
"American Airlines Inc." "New Orleans(LA) - Dallas-Fort Worth(TX)" 448 44666
"American Airlines Inc." "Houston(TX) - Dallas-Fort Worth(TX)" 247 25240
"American Airlines Inc." "Chicago(IL) - New York(NY)" 733 116728
"American Airlines Inc." "Covington(KY) - Indianapolis(IN)" 98 389
"American Airlines Inc." "Indianapolis(IN) - Dallas-Fort Worth(TX)" 762 32165
"American Airlines Inc." "Phoenix(AZ) - Dallas-Fort Worth(TX)" 868 65923
"American Airlines Inc." "New York(NY) - San Diego(CA)" 2446 10673
"American Airlines Inc." "Nashville(TN) - Arlington(VA)" 562 9604
"American Airlines Inc." "Little Rock(AR) - Nashville(TN)" 327 7955
"American Airlines Inc." "Philadelphia(PA) - Chicago(IL)" 678 55086
"American Airlines Inc." "Dallas-Fort Worth(TX) - Detroit(MI)" 987 40922
"American Airlines Inc." "Columbus(OH) - Chicago(IL)" 296 12365
"American Airlines Inc." "Chicago(IL) - San Antonio(TX)" 1041 25705
"American Airlines Inc." "Ft. Lauderdale(FL) - Miami(FL)" 21 355
"American Airlines Inc." "Miami(FL) - Dallas-Fort Worth(TX)" 1121 70481
"American Airlines Inc." "Nashville(TN) - Newark(NJ)" 748 8445
"American Airlines Inc." "Mobile(AL) - Nashville(TN)" 385 6375
"American Airlines Inc." "Rochester(NY) - Chicago(IL)" 528 25690
"American Airlines Inc." "Dallas-Fort Worth(TX) - New York(NY)" 1391 11230
"American Airlines Inc." "Ft. Myers(FL) - Tampa(FL)" 110 78
"American Airlines Inc." "Tampa(FL) - Dallas-Fort Worth(TX)" 929 44993
"American Airlines Inc." "Dallas-Fort Worth(TX) - Miami(FL)" 1121 69759
